Intersection ID,Overlap Proportion
Intersection of Polygon 0 with 6 x 49,0.0016735092530979758,
Intersection of Polygon 0 with 7 x 48,0.18915453009874628,
Intersection of Polygon 0 with 7 x 49,0.7101217468632417,
Intersection of Polygon 0 with 8 x 46,0.09165378119948646,
Intersection of Polygon 0 with 8 x 47,0.6686033351513319,
Intersection of Polygon 0 with 8 x 48,0.9978633202802678,
Intersection of Polygon 0 with 8 x 49,1.0,
Intersection of Polygon 0 with 9 x 44,0.08200677387856911,
Intersection of Polygon 0 with 9 x 45,0.6139588472099388,
Intersection of Polygon 0 with 9 x 46,0.96251701217666,
Intersection of Polygon 0 with 9 x 47,1.0,
Intersection of Polygon 0 with 9 x 48,1.0,
Intersection of Polygon 0 with 9 x 49,1.0,
Intersection of Polygon 0 with 10 x 42,0.14852120095026258,
Intersection of Polygon 0 with 10 x 43,0.5968370313138813,
Intersection of Polygon 0 with 10 x 44,0.9765984441946999,
Intersection of Polygon 0 with 10 x 45,1.0,
Intersection of Polygon 0 with 10 x 46,1.0,
Intersection of Polygon 0 with 10 x 47,1.0,
Intersection of Polygon 0 with 10 x 48,1.0,
Intersection of Polygon 0 with 10 x 49,1.0,
Intersection of Polygon 0 with 11 x 40,0.020843331805563563,
Intersection of Polygon 0 with 11 x 41,0.4825748726264808,
Intersection of Polygon 0 with 11 x 42,0.9664979547904309,
Intersection of Polygon 0 with 11 x 43,1.0,
Intersection of Polygon 0 with 11 x 44,1.0,
Intersection of Polygon 0 with 11 x 45,1.0,
Intersection of Polygon 0 with 11 x 46,1.0,
Intersection of Polygon 0 with 11 x 47,1.0,
Intersection of Polygon 0 with 11 x 48,1.0,
Intersection of Polygon 0 with 11 x 49,1.0,
Intersection of Polygon 0 with 12 x 39,0.19027604767295841,
Intersection of Polygon 0 with 12 x 40,0.795832810753007,
Intersection of Polygon 0 with 12 x 41,1.0,
Intersection of Polygon 0 with 12 x 42,1.0,
Intersection of Polygon 0 with 12 x 43,1.0,
Intersection of Polygon 0 with 12 x 44,1.0,
Intersection of Polygon 0 with 12 x 45,1.0,
Intersection of Polygon 0 with 12 x 46,1.0,
Intersection of Polygon 0 with 12 x 47,1.0,
Intersection of Polygon 0 with 12 x 48,1.0,
Intersection of Polygon 0 with 12 x 49,1.0,
Intersection of Polygon 0 with 13 x 38,0.2602525239974052,
Intersection of Polygon 0 with 13 x 39,0.9672583608105717,
Intersection of Polygon 0 with 13 x 40,1.0,
Intersection of Polygon 0 with 13 x 41,1.0,
Intersection of Polygon 0 with 13 x 42,1.0,
Intersection of Polygon 0 with 13 x 43,1.0,
Intersection of Polygon 0 with 13 x 44,1.0,
Intersection of Polygon 0 with 13 x 45,1.0,
Intersection of Polygon 0 with 13 x 46,1.0,
Intersection of Polygon 0 with 13 x 47,1.0,
Intersection of Polygon 0 with 13 x 48,1.0,
Intersection of Polygon 0 with 13 x 49,1.0,
Intersection of Polygon 0 with 14 x 37,0.26213975586234783,
Intersection of Polygon 0 with 14 x 38,0.9598752531976246,
Intersection of Polygon 0 with 14 x 39,1.0,
Intersection of Polygon 0 with 14 x 40,1.0,
Intersection of Polygon 0 with 14 x 41,1.0,
Intersection of Polygon 0 with 14 x 42,1.0,
Intersection of Polygon 0 with 14 x 43,1.0,
Intersection of Polygon 0 with 14 x 44,1.0,
Intersection of Polygon 0 with 14 x 45,1.0,
Intersection of Polygon 0 with 14 x 46,1.0,
Intersection of Polygon 0 with 14 x 47,1.0,
Intersection of Polygon 0 with 14 x 48,1.0,
Intersection of Polygon 0 with 14 x 49,1.0,
Intersection of Polygon 0 with 15 x 36,0.2624436335402718,
Intersection of Polygon 0 with 15 x 37,0.9666485265055884,
Intersection of Polygon 0 with 15 x 38,1.0,
Intersection of Polygon 0 with 15 x 39,1.0,
Intersection of Polygon 0 with 15 x 40,1.0,
Intersection of Polygon 0 with 15 x 41,1.0,
Intersection of Polygon 0 with 15 x 42,1.0,
Intersection of Polygon 0 with 15 x 43,1.0,
Intersection of Polygon 0 with 15 x 44,1.0,
Intersection of Polygon 0 with 15 x 45,1.0,
Intersection of Polygon 0 with 15 x 46,1.0,
Intersection of Polygon 0 with 15 x 47,1.0,
Intersection of Polygon 0 with 15 x 48,1.0,
Intersection of Polygon 0 with 15 x 49,1.0,
Intersection of Polygon 0 with 16 x 35,0.14959445228732224,
Intersection of Polygon 0 with 16 x 36,0.9356609322945671,
Intersection of Polygon 0 with 16 x 37,1.0,
Intersection of Polygon 0 with 16 x 38,1.0,
Intersection of Polygon 0 with 16 x 39,1.0,
Intersection of Polygon 0 with 16 x 40,1.0,
Intersection of Polygon 0 with 16 x 41,1.0,
Intersection of Polygon 0 with 16 x 42,1.0,
Intersection of Polygon 0 with 16 x 43,1.0,
Intersection of Polygon 0 with 16 x 44,1.0,
Intersection of Polygon 0 with 16 x 45,1.0,
Intersection of Polygon 0 with 16 x 46,1.0,
Intersection of Polygon 0 with 16 x 47,1.0,
Intersection of Polygon 0 with 16 x 48,1.0,
Intersection of Polygon 0 with 16 x 49,1.0,
Intersection of Polygon 0 with 17 x 34,0.028625627155632407,
Intersection of Polygon 0 with 17 x 35,0.8111342874934949,
Intersection of Polygon 0 with 17 x 36,1.0,
Intersection of Polygon 0 with 17 x 37,1.0,
Intersection of Polygon 0 with 17 x 38,1.0,
Intersection of Polygon 0 with 17 x 39,1.0,
Intersection of Polygon 0 with 17 x 40,1.0,
Intersection of Polygon 0 with 17 x 41,1.0,
Intersection of Polygon 0 with 17 x 42,1.0,
Intersection of Polygon 0 with 17 x 43,1.0,
Intersection of Polygon 0 with 17 x 44,1.0,
Intersection of Polygon 0 with 17 x 45,1.0,
Intersection of Polygon 0 with 17 x 46,1.0,
Intersection of Polygon 0 with 17 x 47,1.0,
Intersection of Polygon 0 with 17 x 48,1.0,
Intersection of Polygon 0 with 17 x 49,1.0,
Intersection of Polygon 0 with 18 x 34,0.5681681070744414,
Intersection of Polygon 0 with 18 x 35,1.0,
Intersection of Polygon 0 with 18 x 36,1.0,
Intersection of Polygon 0 with 18 x 37,1.0,
Intersection of Polygon 0 with 18 x 38,1.0,
Intersection of Polygon 0 with 18 x 39,1.0,
Intersection of Polygon 0 with 18 x 40,1.0,
Intersection of Polygon 0 with 18 x 41,1.0,
Intersection of Polygon 0 with 18 x 42,1.0,
Intersection of Polygon 0 with 18 x 43,1.0,
Intersection of Polygon 0 with 18 x 44,1.0,
Intersection of Polygon 0 with 18 x 45,1.0,
Intersection of Polygon 0 with 18 x 46,1.0,
Intersection of Polygon 0 with 18 x 47,1.0,
Intersection of Polygon 0 with 18 x 48,1.0,
Intersection of Polygon 0 with 18 x 49,1.0,
Intersection of Polygon 0 with 19 x 33,0.2672948157412575,
Intersection of Polygon 0 with 19 x 34,0.9966301510909528,
Intersection of Polygon 0 with 19 x 35,1.0,
Intersection of Polygon 0 with 19 x 36,1.0,
Intersection of Polygon 0 with 19 x 37,1.0,
Intersection of Polygon 0 with 19 x 38,1.0,
Intersection of Polygon 0 with 19 x 39,1.0,
Intersection of Polygon 0 with 19 x 40,1.0,
Intersection of Polygon 0 with 19 x 41,1.0,
Intersection of Polygon 0 with 19 x 42,1.0,
Intersection of Polygon 0 with 19 x 43,1.0,
Intersection of Polygon 0 with 19 x 44,1.0,
Intersection of Polygon 0 with 19 x 45,1.0,
Intersection of Polygon 0 with 19 x 46,1.0,
Intersection of Polygon 0 with 19 x 47,1.0,
Intersection of Polygon 0 with 19 x 48,1.0,
Intersection of Polygon 0 with 19 x 49,1.0,
Intersection of Polygon 0 with 20 x 32,0.02444410476151484,
Intersection of Polygon 0 with 20 x 33,0.8597057691762333,
Intersection of Polygon 0 with 20 x 34,1.0,
Intersection of Polygon 0 with 20 x 35,1.0,
Intersection of Polygon 0 with 20 x 36,1.0,
Intersection of Polygon 0 with 20 x 37,1.0,
Intersection of Polygon 0 with 20 x 38,1.0,
Intersection of Polygon 0 with 20 x 39,1.0,
Intersection of Polygon 0 with 20 x 40,1.0,
Intersection of Polygon 0 with 20 x 41,1.0,
Intersection of Polygon 0 with 20 x 42,1.0,
Intersection of Polygon 0 with 20 x 43,1.0,
Intersection of Polygon 0 with 20 x 44,1.0,
Intersection of Polygon 0 with 20 x 45,1.0,
Intersection of Polygon 0 with 20 x 46,1.0,
Intersection of Polygon 0 with 20 x 47,1.0,
